GEO_ID,NAME,S1501_C01_001E,S1501_C01_004E
0500000US12001,"Alachua County, Florida",55717,31358
0500000US12005,"Bay County, Florida",12587,5070
0500000US12009,"Brevard County, Florida",41976,12689
0500000US12011,"Broward County, Florida",144064,57587
0500000US12015,"Charlotte County, Florida",9519,2722
0500000US12017,"Citrus County, Florida",7838,2431
0500000US12019,"Clay County, Florida",18664,7183
0500000US12021,"Collier County, Florida",24479,10383
0500000US12023,"Columbia County, Florida",6410,2122
0500000US12031,"Duval County, Florida",85248,32689
0500000US12033,"Escambia County, Florida",35502,15009
0500000US12035,"Flagler County, Florida",7437,2424
0500000US12053,"Hernando County, Florida",12164,4079
0500000US12055,"Highlands County, Florida",5813,1471
0500000US12057,"Hillsborough County, Florida",127794,57865
0500000US12061,"Indian River County, Florida",11105,3657
0500000US12069,"Lake County, Florida",25966,11558
0500000US12071,"Lee County, Florida",53508,20538
0500000US12073,"Leon County, Florida",61298,31575
0500000US12081,"Manatee County, Florida",27028,10624
0500000US12083,"Marion County, Florida",25194,7447
0500000US12085,"Martin County, Florida",10508,4639
0500000US12086,"Miami-Dade County, Florida",214651,91551
0500000US12087,"Monroe County, Florida",4943,1848
0500000US12089,"Nassau County, Florida",6747,2137
0500000US12091,"Okaloosa County, Florida",18788,9419
0500000US12095,"Orange County, Florida",140812,66479
0500000US12097,"Osceola County, Florida",37211,17152
0500000US12099,"Palm Beach County, Florida",107964,46523
0500000US12101,"Pasco County, Florida",40785,14372
0500000US12103,"Pinellas County, Florida",60029,23882
0500000US12105,"Polk County, Florida",62642,21569
0500000US12107,"Putnam County, Florida",4809,393
0500000US12109,"St. Johns County, Florida",20347,7434
0500000US12111,"St. Lucie County, Florida",24342,10138
0500000US12113,"Santa Rosa County, Florida",13696,5185
0500000US12115,"Sarasota County, Florida",25014,7651
0500000US12117,"Seminole County, Florida",37159,16871
0500000US12119,"Sumter County, Florida",3198,424
0500000US12127,"Volusia County, Florida",45584,20042
0500000US12131,"Walton County, Florida",N,N
