GEO_ID,NAME,S1501_C01_001E
0500000US12001,"Alachua County, Florida",56173
0500000US12003,"Baker County, Florida",2406
0500000US12005,"Bay County, Florida",13864
0500000US12007,"Bradford County, Florida",2093
0500000US12009,"Brevard County, Florida",42660
0500000US12011,"Broward County, Florida",148798
0500000US12013,"Calhoun County, Florida",941
0500000US12015,"Charlotte County, Florida",8809
0500000US12017,"Citrus County, Florida",8002
0500000US12019,"Clay County, Florida",16751
0500000US12021,"Collier County, Florida",23818
0500000US12023,"Columbia County, Florida",6407
0500000US12027,"DeSoto County, Florida",2881
0500000US12029,"Dixie County, Florida",1147
0500000US12031,"Duval County, Florida",85319
0500000US12033,"Escambia County, Florida",35829
0500000US12035,"Flagler County, Florida",6931
0500000US12037,"Franklin County, Florida",725
0500000US12039,"Gadsden County, Florida",3438
0500000US12041,"Gilchrist County, Florida",1771
0500000US12043,"Glades County, Florida",737
0500000US12045,"Gulf County, Florida",963
0500000US12047,"Hamilton County, Florida",852
0500000US12049,"Hardee County, Florida",2318
0500000US12051,"Hendry County, Florida",3775
0500000US12053,"Hernando County, Florida",12648
0500000US12055,"Highlands County, Florida",5879
0500000US12057,"Hillsborough County, Florida",126879
0500000US12059,"Holmes County, Florida",1420
0500000US12061,"Indian River County, Florida",10210
0500000US12063,"Jackson County, Florida",3839
0500000US12065,"Jefferson County, Florida",1150
0500000US12067,"Lafayette County, Florida",768
0500000US12069,"Lake County, Florida",24643
0500000US12071,"Lee County, Florida",51252
0500000US12073,"Leon County, Florida",61768
0500000US12075,"Levy County, Florida",2883
0500000US12077,"Liberty County, Florida",726
0500000US12079,"Madison County, Florida",1215
0500000US12081,"Manatee County, Florida",25593
0500000US12083,"Marion County, Florida",24583
0500000US12085,"Martin County, Florida",9594
0500000US12086,"Miami-Dade County, Florida",222021
0500000US12087,"Monroe County, Florida",5042
0500000US12089,"Nassau County, Florida",5445
0500000US12091,"Okaloosa County, Florida",18749
0500000US12093,"Okeechobee County, Florida",2994
0500000US12095,"Orange County, Florida",144003
0500000US12097,"Osceola County, Florida",35073
0500000US12099,"Palm Beach County, Florida",109697
0500000US12101,"Pasco County, Florida",38535
0500000US12103,"Pinellas County, Florida",61877
0500000US12105,"Polk County, Florida",59343
0500000US12107,"Putnam County, Florida",4997
0500000US12109,"St. Johns County, Florida",18422
0500000US12111,"St. Lucie County, Florida",22979
0500000US12113,"Santa Rosa County, Florida",14095
0500000US12115,"Sarasota County, Florida",24174
0500000US12117,"Seminole County, Florida",37969
0500000US12119,"Sumter County, Florida",3489
0500000US12121,"Suwannee County, Florida",3331
0500000US12123,"Taylor County, Florida",1520
0500000US12125,"Union County, Florida",1166
0500000US12127,"Volusia County, Florida",43610
0500000US12129,"Wakulla County, Florida",2123
0500000US12131,"Walton County, Florida",4160
0500000US12133,"Washington County, Florida",1887
