Country Name,Country Code,2020 [YR2020]
Afghanistan,AFG,1.852781994
Albania,ALB,28.7919708
Algeria,DZA,0.81830896
American Samoa,ASM,85.65
Andorra,AND,34.04255319
Angola,AGO,53.42695115
Antigua and Barbuda,ATG,18.45454545
Argentina,ARG,10.44071488
Armenia,ARM,11.5374078
Aruba,ABW,2.333333333
Australia,AUS,17.42131456
Austria,AUT,47.25096946
Azerbaijan,AZE,13.69418968
"Bahamas, The",BHS,50.93506494
Bahrain,BHR,0.891719745
Bangladesh,BGD,14.46877161
Barbados,BRB,14.65116279
Belarus,BLR,43.19440339
Belgium,BEL,22.76420079
Belize,BLZ,55.98640947
Benin,BEN,27.80374246
Bermuda,BMU,18.51851852
Bhutan,BTN,71.44939696
Bolivia,BOL,46.92491461
Bosnia and Herzegovina,BIH,42.73261719
Botswana,BWA,26.91705045
Brazil,BRA,59.41747805
British Virgin Islands,VGB,24.13333333
Brunei Darussalam,BRN,72.10626186
Bulgaria,BGR,35.86035372
Burkina Faso,BFA,22.72076023
Burundi,BDI,10.8894081
Cabo Verde,CPV,11.34491315
Cambodia,KHM,45.7079651
Cameroon,CMR,43.02951069
Canada,CAN,38.69551251
Cayman Islands,CYM,53
Central African Republic,CAF,35.80050724
Chad,TCD,3.425190597
Channel Islands,CHI,..
Chile,CHL,24.49215367
China,CHN,23.3405957
Colombia,COL,53.30501127
Comoros,COM,17.68941429
"Congo, Dem. Rep.",COD,55.64731259
"Congo, Rep.",COG,64.26354319
Costa Rica,CRI,59.43732863
Cote d'Ivoire,CIV,8.920471698
Croatia,HRV,34.65171551
Cuba,CUB,31.23314066
Curacao,CUW,0.157657658
Cyprus,CYP,18.67207792
Czechia,CZE,34.67799193
Denmark,DNK,15.711
Djibouti,DJI,0.250215703
Dominica,DMA,63.82666667
Dominican Republic,DOM,44.3821155
Ecuador,ECU,50.32142857
"Egypt, Arab Rep.",EGY,0.045185594
El Salvador,SLV,28.17953668
Equatorial Guinea,GNQ,87.28770053
Eritrea,ERI,8.71821524
Estonia,EST,57.03859649
